Date,Day,Month,Year,Hours,Temperature,Demand,Forcast J-1,Forcast J
01-01-13,1,1,2013,0,6.8,61194,60300,60200
01-01-13,1,1,2013,1800,6.71,59674,59500,58700
01-01-13,1,1,2013,3600,6.62,57877,57500,56700
01-01-13,1,1,2013,5400,6.53,57755,57800,57400
01-01-13,1,1,2013,7200,6.44,57243,57600,57200
01-01-13,1,1,2013,9000,6.39,56660,56400,55600
01-01-13,1,1,2013,10800,6.34,54376,54900,53400
01-01-13,1,1,2013,12600,6.305,52640,53200,51600
01-01-13,1,1,2013,14400,6.27,50796,51800,49900
01-01-13,1,1,2013,16200,6.27,49860,50700,48900
01-01-13,1,1,2013,18000,6.27,49040,49900,48100
01-01-13,1,1,2013,19800,6.3,49021,49600,48200
01-01-13,1,1,2013,21600,6.33,48633,49300,47900
01-01-13,1,1,2013,23400,6.395,48923,49000,48000
01-01-13,1,1,2013,25200,6.46,48738,49000,47900
01-01-13,1,1,2013,27000,6.59,48709,49000,48100
01-01-13,1,1,2013,28800,6.72,48781,49300,48100
01-01-13,1,1,2013,30600,6.925,48390,48900,47600
01-01-13,1,1,2013,32400,7.13,48313,48800,47400
01-01-13,1,1,2013,34200,7.43,48959,49600,48500
01-01-13,1,1,2013,36000,7.73,50170,50700,49300
01-01-13,1,1,2013,37800,8.035,50935,52000,50700
01-01-13,1,1,2013,39600,8.34,52015,53200,52200
01-01-13,1,1,2013,41400,8.575,53132,54200,53200
01-01-13,1,1,2013,43200,8.81,54067,55200,54700
01-01-13,1,1,2013,45000,8.925,55605,56600,56100
01-01-13,1,1,2013,46800,9.04,56972,58100,57400
01-01-13,1,1,2013,48600,8.995,55593,56200,55300
01-01-13,1,1,2013,50400,8.95,54210,55000,54000
01-01-13,1,1,2013,52200,8.77,53733,54000,53500
01-01-13,1,1,2013,54000,8.59,52313,52600,52100
01-01-13,1,1,2013,55800,8.28,51810,52100,51600
01-01-13,1,1,2013,57600,7.97,51555,51700,51200
01-01-13,1,1,2013,59400,7.595,51792,52100,51500
01-01-13,1,1,2013,61200,7.22,52700,53000,52300
01-01-13,1,1,2013,63000,6.88,55491,55900,55100
01-01-13,1,1,2013,64800,6.54,58621,58600,57700
01-01-13,1,1,2013,66600,6.29,59848,59800,58500
01-01-13,1,1,2013,68400,6.04,61058,61000,59800
01-01-13,1,1,2013,70200,5.855,61771,61700,60600
01-01-13,1,1,2013,72000,5.67,61610,61400,60400
01-01-13,1,1,2013,73800,5.53,60854,60900,59900
01-01-13,1,1,2013,75600,5.39,59977,60300,59200
01-01-13,1,1,2013,77400,5.265,58752,59000,58100
01-01-13,1,1,2013,79200,5.14,57722,57900,57200
01-01-13,1,1,2013,81000,5.02,58616,59200,58500
01-01-13,1,1,2013,82800,4.9,61449,61600,61000
01-01-13,1,1,2013,84600,4.79,60291,59600,59200
02-01-13,2,1,2013,0,4.68,60074,58900,59500
02-01-13,2,1,2013,1800,4.585,58522,57500,57500
02-01-13,2,1,2013,3600,4.49,55985,55300,55300
02-01-13,2,1,2013,5400,4.41,56048,55700,56000
02-01-13,2,1,2013,7200,4.33,55736,55900,55900
02-01-13,2,1,2013,9000,4.23,55512,54900,54600
02-01-13,2,1,2013,10800,4.13,53626,53300,53000
02-01-13,2,1,2013,12600,4.02,52670,52000,52000
02-01-13,2,1,2013,14400,3.91,51940,50900,51300
02-01-13,2,1,2013,16200,3.805,52000,51200,51600
02-01-13,2,1,2013,18000,3.7,52467,52200,52400
02-01-13,2,1,2013,19800,3.64,54217,53600,54100
02-01-13,2,1,2013,21600,3.58,55817,55200,55700
02-01-13,2,1,2013,23400,3.61,58477,57900,59100
02-01-13,2,1,2013,25200,3.64,60786,59800,60800
02-01-13,2,1,2013,27000,3.785,63299,62500,63400
02-01-13,2,1,2013,28800,3.93,65500,65100,65600
02-01-13,2,1,2013,30600,4.26,66849,66600,66600
02-01-13,2,1,2013,32400,4.59,67682,67900,67400
02-01-13,2,1,2013,34200,5.09,68604,69600,68600
02-01-13,2,1,2013,36000,5.59,69360,70100,69000
02-01-13,2,1,2013,37800,6.155,69763,71000,69400
02-01-13,2,1,2013,39600,6.72,69823,70800,69700
02-01-13,2,1,2013,41400,7.18,70216,71800,69900
02-01-13,2,1,2013,43200,7.64,70726,72700,71100
02-01-13,2,1,2013,45000,7.87,70797,72000,70700
02-01-13,2,1,2013,46800,8.1,71065,73100,71600
02-01-13,2,1,2013,48600,8.115,69608,71300,69300
02-01-13,2,1,2013,50400,8.13,68981,71100,68800
02-01-13,2,1,2013,52200,8.005,68401,70400,68100
02-01-13,2,1,2013,54000,7.88,66745,69100,66700
02-01-13,2,1,2013,55800,7.715,65862,68400,65800
02-01-13,2,1,2013,57600,7.55,65314,67900,65700
02-01-13,2,1,2013,59400,7.365,65353,67700,65900
02-01-13,2,1,2013,61200,7.18,66221,68300,66800
02-01-13,2,1,2013,63000,7.01,68739,71000,69900
02-01-13,2,1,2013,64800,6.84,71924,73300,72600
02-01-13,2,1,2013,66600,6.73,73099,73500,73100
02-01-13,2,1,2013,68400,6.62,74504,74500,74500
02-01-13,2,1,2013,70200,6.56,73835,73500,73600
02-01-13,2,1,2013,72000,6.5,72250,72100,72300
02-01-13,2,1,2013,73800,6.325,70036,70400,70600
02-01-13,2,1,2013,75600,6.15,68012,68600,68700
02-01-13,2,1,2013,77400,6,66149,67100,67100
02-01-13,2,1,2013,79200,5.85,64478,65700,65600
02-01-13,2,1,2013,81000,5.67,65117,67000,67100
02-01-13,2,1,2013,82800,5.49,67437,68200,68800
02-01-13,2,1,2013,84600,5.32,66461,66500,67000
03-01-13,3,1,2013,0,5.15,66174,66000,65300
03-01-13,3,1,2013,1800,4.68,64040,64400,62800
03-01-13,3,1,2013,3600,4.21,61350,62200,60800
03-01-13,3,1,2013,5400,3.97,61134,62600,60600
03-01-13,3,1,2013,7200,3.73,60507,62300,60400
03-01-13,3,1,2013,9000,3.505,60143,61000,59100
03-01-13,3,1,2013,10800,3.28,58199,59300,57300
03-01-13,3,1,2013,12600,3.095,56984,58000,56100
03-01-13,3,1,2013,14400,2.91,55804,56600,55200
03-01-13,3,1,2013,16200,2.88,55715,56700,55100
03-01-13,3,1,2013,18000,2.85,55932,57000,55300
03-01-13,3,1,2013,19800,2.965,57573,58400,57200
03-01-13,3,1,2013,21600,3.08,59021,59900,58700
03-01-13,3,1,2013,23400,3.285,61942,62400,61500
03-01-13,3,1,2013,25200,3.49,64130,64500,64000
03-01-13,3,1,2013,27000,3.805,66737,67300,66300
03-01-13,3,1,2013,28800,4.12,68769,69900,68500
03-01-13,3,1,2013,30600,4.555,69855,71000,69300
03-01-13,3,1,2013,32400,4.99,70261,71800,69800
03-01-13,3,1,2013,34200,5.555,70978,72800,70300
03-01-13,3,1,2013,36000,6.12,71499,73600,70600
03-01-13,3,1,2013,37800,6.685,71941,74200,71500
03-01-13,3,1,2013,39600,7.25,71873,74400,71200
03-01-13,3,1,2013,41400,7.695,72385,74800,71900
03-01-13,3,1,2013,43200,8.14,72740,75400,72900
03-01-13,3,1,2013,45000,8.35,72510,74100,72200
03-01-13,3,1,2013,46800,8.56,72579,75200,73100
03-01-13,3,1,2013,48600,8.57,71543,73200,71000
03-01-13,3,1,2013,50400,8.58,70738,72500,70500
03-01-13,3,1,2013,52200,8.405,70367,71800,69800
03-01-13,3,1,2013,54000,8.23,68765,69900,67900
03-01-13,3,1,2013,55800,7.935,67796,68800,66800
03-01-13,3,1,2013,57600,7.64,67282,68400,66400
03-01-13,3,1,2013,59400,7.3,67177,68600,66800
03-01-13,3,1,2013,61200,6.96,67834,69200,67500
03-01-13,3,1,2013,63000,6.655,69866,71100,69600
03-01-13,3,1,2013,64800,6.35,72429,73300,72000
03-01-13,3,1,2013,66600,6.15,73380,74000,72800
03-01-13,3,1,2013,68400,5.95,74649,74500,73500
03-01-13,3,1,2013,70200,5.82,73766,73400,72400
03-01-13,3,1,2013,72000,5.69,71765,72000,71000
03-01-13,3,1,2013,73800,5.58,69455,70300,69300
03-01-13,3,1,2013,75600,5.47,67414,68600,67700
03-01-13,3,1,2013,77400,5.345,65306,66600,65700
03-01-13,3,1,2013,79200,5.22,63613,65000,64100
03-01-13,3,1,2013,81000,5.09,64051,66200,65300
03-01-13,3,1,2013,82800,4.96,66334,68100,67200
03-01-13,3,1,2013,84600,5.98,64946,65700,65100
04-01-13,4,1,2013,0,7,64948,65100,64100
